Name,X,Y,GSE,TOS,BOS,KrigedBot,KrigedTop,KrigeType,Subregion,FG_Elem
357167N1191417W001,849063.5181,3959394.282,485.01,-117.8134908,-1031.525761,TRUE,TRUE,3,20,30351
357169N1195665W001,810615.0835,3957986.286,222,-263.9934383,-474,FALSE,FALSE,1,19,28703
357169N1195665W002,810615.0835,3957986.286,222,-1024,-1034,FALSE,FALSE,1,19,28703
357169N1195665W003,810615.0835,3957986.286,222,-853.9868766,-864,FALSE,FALSE,1,19,28703
357169N1196261W001,805221.2928,3957799.007,227.53,-343.962126,-432.6898163,TRUE,TRUE,3,19,28587
357171N1197624W001,792885.8257,3957405.276,212.72,-333.6639239,-393.8030315,TRUE,TRUE,3,19,28020
357172N1192337W001,840734.1824,3959125.84,320.65,-255.3063648,-617.9851706,TRUE,TRUE,3,20,29829
357172N1195095W001,815772.4898,3958201.766,204.05,-280.7480971,-498.97021,TRUE,TRUE,3,19,28811
357172N1195460W001,812469.182,3958084.755,237.14,-310.2642651,-502.482769,TRUE,TRUE,3,19,28704
357172N1195802W001,809374.0648,3957976.237,223.53,-368.7800394,-495.2593701,TRUE,TRUE,3,19,28702
357174N1197446W001,794495.5313,3957491.907,,,,TRUE,TRUE,3,19,28137
357175N1197305W001,795771.1424,3957545.465,,,,TRUE,TRUE,3,19,28139
357175N1197611W001,793002.0025,3957453.549,248.72,-297.1093963,-357.2672047,TRUE,TRUE,3,19,28020
357176N1194914W001,817408.9947,3958304.639,228.46,-246.0560761,-449.8454462,TRUE,TRUE,3,19,28930
357177N1194381W001,822232.4053,3958489.718,244.28,-186.983189,-342.2272835,TRUE,TRUE,3,19,28934
357177N1194645W001,819843.116,3958403.214,226.47,-222.2972572,-400.4888583,TRUE,TRUE,3,19,28933
357177N1194703W001,819318.1994,3958384.296,222.57,-232.3706168,-417.0166142,TRUE,TRUE,3,19,28814
357177N1194772W001,818693.7309,3958361.831,221.56,-240.791706,-432.0905906,TRUE,TRUE,3,19,28814
357178N1194857W001,817924.0622,3958345.314,221.56,-248.7821916,-446.9130971,TRUE,TRUE,3,19,28813
357180N1192310W001,840975.1474,3959224.024,320.65,-262.7448163,-633.4177165,TRUE,TRUE,3,20,29941
357180N1194467W001,821452.8669,3958494.761,234.58,-203.3527428,-363.5545144,TRUE,TRUE,3,19,28934
357180N1194820W001,818258.124,3958379.522,221.56,-245.2165748,-439.3245144,TRUE,TRUE,3,19,28813
357180N1196615W001,802013.4915,3957811.395,204.83,-362.3736089,-434.6058924,TRUE,TRUE,3,19,28474
357181N1192853W001,836060.0745,3959047.476,300.63,-182.3847638,-354.3634383,TRUE,TRUE,3,20,29457
357181N1192948W001,835200.2477,3959014.927,297.63,-173.4736745,-316.4165879,TRUE,TRUE,3,20,29457
357181N1193484W001,830349.0692,3958832.853,270.61,-52.76729659,-123.5881627,TRUE,TRUE,3,19,29205
