Name,X,Y,ObsWL,SimWL,Residual,pt_size,color
361558N1199477W001,774594.2154,4005546.7939999998,716.12,69.47250000000001,646.6474999999999,26.42926463742119,#A00000
366481N1206674W001,708514.7964,4058370.45,634.09,47.1,586.99,25.22787650620665,#A00000
366040N1204790W001,725487.732,4053903.344,296.78999999999996,-191.7211111111111,488.51111111111106,23.102287463317253,#A00000
366476N1205315W001,720666.6581999998,4058619.0160000008,347.6781818181819,-137.76181818181817,485.44,23.03270296627266,#A00000
365240N1203700W001,735481.9608,4045288.1460000006,316.01874999999995,-160.50875000000002,476.52750000000003,22.829509843329053,#A00000
365599N1204233W002,730601.9556999999,4049142.3539999994,289.18125,-170.07500000000002,459.25625,22.43026481404278,#A00000
364000N1202653W001,745249.1016,4031790.481,290.88,-165.26,456.14,22.35743430283703,#A00000
363519N1202491W001,746854.3510999997,4026494.6260000016,316.0673913043479,-139.8426086956522,455.9099999999999,22.35204908199679,#A00000
366338N1204964W001,723844.8837,4057169.134999999,295.86000000000007,-158.52,454.37999999999994,22.316191029356062,#A00000
361439N1202479W001,747618.0436,4003418.425,-184.98,265.16,-450.14,22.216503010628305,#4B0082
365745N1204609W001,727193.4929999999,4050672.765,285.41909090909087,-162.24818181818182,447.66727272727275,22.158149085571562,#A00000
366328N1204776W001,725529.0075000002,4057102.2060000002,272.63363636363636,-174.1381818181818,446.77181818181816,22.136977508192086,#A00000
363419N1202371W001,747963.1677,4025415.772,293.56,-152.58,446.14,22.122026417936326,#A00000
365453N1203888W001,733734.1582,4047605.6960000014,291.94222222222226,-152.55666666666664,444.49888888888887,22.08314229162458,#A00000
366473N1204962W001,723823.6786000001,4058667.524999999,288.0763636363636,-154.30727272727273,442.38363636363647,22.032917923189746,#A00000
363447N1202477W001,747002.7736,4025699.296999999,315.67727272727274,-125.88090909090907,441.55818181818177,22.01328584058623,#A00000
365599N1204070W001,732061.0160999999,4049181.590000001,280.44,-159.921,440.361,21.98478019899184,#A00000
366047N1204608W001,727113.8640000001,4054023.914,260.83,-177.6890909090909,438.51909090909083,21.940847425763142,#A00000
365893N1204610W001,727141.1454999998,4052314.696000002,268.2081818181818,-170.0909090909091,438.299090909091,21.935593875242493,#A00000
365310N1203890W001,733759.3308,4046018.504,315.1666666666667,-121.43833333333333,436.605,21.89509511823289,#A00000
363656N1202563W001,746164.9160999994,4027996.3869999987,318.43655172413787,-118.04448275862069,436.48103448275856,21.89212852925136,#A00000
365219N1203699W001,735497.2866999995,4045055.3770000013,317.98225806451615,-117.32612903225805,435.3083870967742,21.86404531956289,#A00000
363761N1202632W001,745512.6796999996,4029143.8879999975,316.70374999999996,-118.03687499999997,434.74062499999997,21.850434647747754,#A00000
363756N1202646W001,745388.6321000006,4029084.847000002,320.88758620689663,-112.80827586206895,433.69586206896554,21.825365832776278,#A00000
363822N1202671W001,745143.5758999997,4029810.826000002,312.23125,-121.4109375,433.6421875000001,21.824077110402758,#A00000
365997N1204963W001,723952.5061,4053385.7380000018,350.7303225806451,-76.93064516129031,427.66096774193545,21.67996537090755,#A00000
365673N1204429W001,728825.6655,4049916.588,270.12363636363636,-155.8509090909091,425.97454545454553,21.639150792960102,#A00000
365525N1203977W001,732915.7159999999,4048382.9939999995,288.76000000000005,-134.52666666666667,423.28666666666663,21.573931726013544,#A00000
365317N1203841W001,734195.9983,4046108.097000002,308.45374999999996,-113.77468749999998,422.2284375,21.548197913685765,#A00000
366487N1204785W001,725402.1569999998,4058864.318000001,269.3663636363636,-151.81181818181815,421.1781818181818,21.52262609458599,#A00000
365322N1203824W001,734346.7170000001,4046167.7179999985,309.42451612903227,-111.17612903225806,420.6006451612904,21.50855053779497,#A00000
365239N1203710W001,735392.7087000004,4045274.6019999986,307.510465116279,-112.95139534883722,420.4618604651162,21.50516667733077,#A00000
365748N1204769W001,725760.7002,4050668.3350000004,311.17727272727274,-108.60727272727271,419.78454545454554,21.488644304944764,#A00000
364286N1202666W001,745042.5505999998,4034960.628999999,254.9580487804878,-164.80024390243906,419.7582926829268,21.48800362853655,#A00000
365600N1204243W002,730512.1457000001,4049151.051,284.645,-134.96999999999997,419.61500000000007,21.484506340158653,#A00000
365452N1203796W001,734558.1405999999,4047617.0080000004,291.39,-127.84899999999998,419.23900000000003,21.47532661522155,#A00000
365119N1203613W001,736297.9142000003,4043966.8789999974,303.29666666666674,-114.55799999999996,417.85466666666673,21.441493748419333,#A00000
364183N1202877W001,743182.7138,4033764.314,297.33,-120.29,417.62,21.435752983435673,#A00000
365599N1204233W001,730601.9557,4049142.354,287.79999999999995,-129.475,417.275,21.427310150874,#A00000
365744N1204336W001,729637.0126,4050726.5760000004,251.77818181818185,-162.38727272727274,414.1654545454546,21.35105536687114,#A00000
363858N1202121W001,750066.7374,4030351.418,260.38,-151.765,412.145,21.30135463460505,#A00000
365917N1204863W001,724870.3910000002,4052521.453999997,324.71333333333337,-87.3662962962963,412.0796296296296,21.299744570551365,#A00000
365526N1204068W001,732100.7690000002,4048372.0780000007,291.8077777777778,-115.42333333333333,407.23111111111115,21.17996806516579,#A00000
365899N1204428W001,728767.8752999998,4052424.4689999996,237.5836363636364,-169.37272727272727,406.9563636363637,21.17315948572171,#A00000
366081N1204910W001,724402.3196000006,4054330.150999997,317.20451612903224,-89.71774193548387,406.92225806451614,21.172314147477383,#A00000
364308N1202960W001,742399.4824,4035130.403,289.88,-116.39,406.27,21.156140503578555,#A00000
365942N1204882W001,724693.1352000001,4052794.399000001,322.6803333333334,-82.681,405.3613333333334,21.13358719486752,#A00000
363250N1202316W001,748510.6185000004,4023554.6870000027,292.07636363636357,-112.91030303030303,404.98666666666674,21.124280525441566,#A00000
365322N1203827W001,734319.8533000005,4046166.9869999997,291.75190476190477,-112.18619047619045,403.9380952380953,21.09821124473756,#A00000
366225N1204991W001,723636.1068999994,4055909.0250000022,323.30781249999995,-80.4284375,403.73625,21.093189144583295,#A00000
365392N1203963W001,733081.0078,4046910.642,311.25,-90.46000000000001,401.71000000000004,21.042704408337713,#A00000
363261N1202299W002,748659.7595999998,4023681.1159999976,290.5577419354838,-110.48451612903224,401.04225806451615,21.026039500223607,#A00000
