name	clus_1	clus_2	clus_3	clus_4	memb	i.cluster	subregion
C_371446N1203474W001	6.9E-09	0.989623159	0.010376809	2.56E-08	2	2	sub11sub12sub13
C_371485N1203916W001	0.855713593	0.134700106	0.005149883	0.004436418	1	1	sub11sub12sub13
C_371485N1206860W001	0.077218184	0.004051883	0.005053425	0.913676508	4	4	sub11sub12sub13
C_371488N1203921W001	0.987803049	0.005271525	0.001132287	0.00579314	1	1	sub11sub12sub13
C_371491N1201388W001	0.000686936	0.02569312	0.967638016	0.005981928	3	3	sub11sub12sub13
C_371491N1202474W001	0.000624842	0.032135634	0.964623369	0.002616155	3	3	sub11sub12sub13
C_371524N1202916W001	1.8483E-06	0.996118196	0.003879466	0.00000049	2	2	sub11sub12sub13
C_371560N1202063W001	8.785E-07	0.015268131	0.984727902	3.0881E-06	3	3	sub11sub12sub13
C_371560N1202338W001	4.9169E-06	0.001652044	0.998341324	1.7148E-06	3	3	sub11sub12sub13
C_371574N1204921W001	0.99992562	9.2692E-06	8.4062E-06	5.67051E-05	1	1	sub11sub12sub13
C_371574N1205371W001	0.999416362	2.07104E-05	8.02394E-05	0.000482689	1	1	sub11sub12sub13
C_371582N1206193W001	0.779484687	0.001067539	0.217551184	0.001896591	1	1	sub11sub12sub13
C_371596N1203382W001	1.2E-09	0.999389481	0.000610511	7.3E-09	2	2	sub11sub12sub13
C_371638N1203021W001	1.63E-08	0.924345061	0.075654861	6.18E-08	2	2	sub11sub12sub13
C_371707N1203832W001	0.098570021	0.894910365	0.003753102	0.002766513	2	2	sub11sub12sub13
C_371707N1203835W001	2.19926E-05	0.231271616	0.767374882	0.001331509	3	3	sub11sub12sub13
C_371707N1204135W001	0.000193321	0.009972417	0.989784443	4.98193E-05	3	3	sub11sub12sub13
C_371713N1203293W001	0.000299625	0.993089972	0.006548536	6.18668E-05	2	2	sub11sub12sub13
C_371730N1204654W001	0.997967978	0.001129169	3.31693E-05	0.000869684	1	1	sub11sub12sub13
C_371738N1204852W001	0.999498923	4.3101E-06	1.8658E-06	0.000494901	1	1	sub11sub12sub13
C_371746N1205216W001	0.983965764	0.008212981	0.001901012	0.005920243	1	1	sub11sub12sub13
C_371768N1206652W001	0.065943251	0.000171474	0.000091301	0.933793973	4	4	sub11sub12sub13
C_371830N1204904W001	0.998118072	6.76847E-05	0.000345824	0.00146842	1	1	sub11sub12sub13
C_371852N1203899W001	5.83E-08	0.609782743	0.3901238	9.33987E-05	2	2	sub11sub12sub13
C_371852N1203902W001	7.496E-07	0.917560106	0.082406728	3.24169E-05	2	2	sub11sub12sub13
C_371852N1203907W001	0.976073566	0.000443706	0.022073565	0.001409162	1	1	sub11sub12sub13
C_371855N1205829W001	0.99831168	1.36025E-05	3.813E-07	0.001674337	1	1	sub11sub12sub13
C_371860N1207002W001	0.013449563	0.003089981	0.001653894	0.981806563	4	4	sub11sub12sub13
C_371902N1204654W001	0.931094451	0.019306738	0.010880389	0.038718422	1	1	sub11sub12sub13
C_371905N1203166W001	1E-10	3.42896E-05	0.999965261	4.495E-07	3	3	sub11sub12sub13
C_371924N1207060W001	0.001379317	0.016105221	0.048600454	0.933915008	4	4	sub11sub12sub13
C_371935N1202799W001	1.1416E-06	0.000182509	0.999431673	0.000384677	3	3	sub11sub12sub13
C_371946N1204891W001	0.998847208	4.03754E-05	0.000763508	0.000348909	1	1	sub11sub12sub13
C_371971N1205813W001	0.999853405	1.78984E-05	3.31736E-05	9.55227E-05	1	1	sub11sub12sub13
C_372018N1203252W001	0.011684901	0.000946433	0.048418853	0.938949814	4	4	sub11sub12sub13
C_372063N1205796W001	0.992696516	0.00030979	2.37545E-05	0.006969939	1	1	sub11sub12sub13
C_372080N1203979W001	2.8402E-06	0.966111284	0.032257953	0.001627923	2	2	sub11sub12sub13
C_372102N1204752W001	0.597691531	0.043826456	0.003001823	0.35548019	1	1	sub11sub12sub13
C_372113N1204974W001	0.997625211	0.000165726	0.000287003	0.00192206	1	1	sub11sub12sub13
C_372146N1205427W001	0.978304606	7.3649E-06	2.2143E-06	0.021685815	1	1	sub11sub12sub13
C_372218N1203524W001	8E-10	0.101210696	0.898770462	0.000018841	3	3	sub11sub12sub13
C_372235N1205793W001	0.999951704	1.0666E-06	0.000002335	4.48949E-05	1	1	sub11sub12sub13
C_372235N1207796W001	0.99981432	2.77725E-05	6.815E-07	0.000157226	1	1	sub11sub12sub13
C_372282N1202663W001	2.07E-08	0.000616351	0.999383288	0.00000034	3	3	sub11sub12sub13
C_372282N1202796W001	0	1.2768E-06	0.999998715	8.4E-09	3	3	sub11sub12sub13
C_372293N1207027W001	0.62619336	0.153410137	0.002815586	0.217580916	1	1	sub11sub12sub13
C_372299N1203341W001	1.853E-07	0.808479399	0.191313139	0.000207277	2	2	sub11sub12sub13
C_372313N1203524W001	4.12361E-05	0.067139643	0.932529757	0.000289363	3	3	sub11sub12sub13
C_372327N1203163W001	3E-10	0.234788524	0.765210426	1.0494E-06	3	3	sub11sub12sub13
C_372335N1204007W001	5.567E-07	0.995123313	0.004859156	1.69748E-05	2	2	sub11sub12sub13
C_372360N1203913W001	1.7722E-06	0.988219042	0.01172566	5.35255E-05	2	2	sub11sub12sub13
C_372410N1203804W001	0.001573926	0.143474988	0.853395987	0.001555098	3	3	sub11sub12sub13
C_372427N1204029W001	7.4E-09	0.999860242	0.000138901	8.493E-07	2	2	sub11sub12sub13
C_372435N1203349W001	3.877E-07	0.955138033	0.044845033	1.65459E-05	2	2	sub11sub12sub13
C_372438N1205793W001	0.998922683	0.000198909	9.2196E-06	0.000869189	1	1	sub11sub12sub13
C_372438N1206335W001	0.403144276	0.007656948	0.000118747	0.589080029	4	4	sub11sub12sub13
C_372438N1206429W002	0.010067854	1.53467E-05	3.1346E-06	0.989913665	4	4	sub11sub12sub13
C_372449N1207793W002	0.354511714	0.038167254	0.067368881	0.53995215	4	4	sub11sub12sub13
C_372496N1203632W001	0	0	0	0	3	3	sub11sub12sub13
C_372518N1206157W001	0.644839937	0.33929901	0.001000674	0.01486038	1	1	sub11sub12sub13
C_372518N1206524W001	0.998105308	0.000444143	0.000017719	0.001432829	1	1	sub11sub12sub13
C_372546N1207202W001	0.991231581	5.0001E-06	2.5451E-06	0.008760874	1	1	sub11sub12sub13
C_372566N1203979W001	7.22054E-05	0.976283351	0.004881019	0.018763425	2	2	sub11sub12sub13
C_372582N1205452W001	0.966632912	0.000700773	0.00038813	0.032278186	1	1	sub11sub12sub13
C_372616N1204346W001	0.000220163	0.730407547	0.2588763	0.01049599	2	2	sub11sub12sub13
C_372618N1204793W001	0.668872894	0.06313957	0.030763934	0.237223602	1	1	sub11sub12sub13
C_372655N1205604W001	0.008296052	0.009090897	0.073747049	0.908866002	4	4	sub11sub12sub13
C_372699N1203974W001	0.00984734	0.985920558	0.000235218	0.003996885	2	2	sub11sub12sub13
C_372702N1206154W001	5.4329E-06	0.999840202	0.000116681	3.76843E-05	2	2	sub11sub12sub13
C_372721N1204529W001	0.000846344	0.931580987	0.002561362	0.065011307	2	2	sub11sub12sub13
C_372730N1204118W001	1.348E-07	0.999975202	1.77645E-05	6.8983E-06	2	2	sub11sub12sub13
C_372730N1206518W001	0.992682112	3.7021E-06	0.000002122	0.007312064	1	1	sub11sub12sub13
C_372771N1206954W001	3.09722E-05	0.001426389	0.000243326	0.998299313	4	4	sub11sub12sub13
C_372802N1204702W001	0.003734132	0.936122625	0.022186292	0.037956951	2	2	sub11sub12sub13
C_372805N1204835W001	0.032060188	0.314050373	0.006714002	0.647175437	4	4	sub11sub12sub13
C_372818N1207788W001	0.16124375	0.00020208	0.00025869	0.83829548	4	4	sub11sub12sub13
C_372857N1204029W001	1.8928E-06	0.999788607	0.000168265	4.12355E-05	2	2	sub11sub12sub13
C_372863N1203702W001	1.80895E-05	0.999962109	1.46108E-05	5.1904E-06	2	2	sub11sub12sub13
C_372910N1203518W001	2.8903E-06	0.999769426	0.000123802	0.000103882	2	2	sub11sub12sub13
C_372913N1204338W001	5.7E-09	0.009434193	0.990565635	1.668E-07	3	3	sub11sub12sub13
C_372960N1203499W001	0.001323712	0.000783832	4.63994E-05	0.997846057	4	4	sub11sub12sub13
C_372963N1203752W001	1.3053E-06	0.99904287	0.000498966	0.000456858	2	2	sub11sub12sub13
C_373007N1207677W001	0.058271413	0.014397649	0.023080889	0.90425005	4	4	sub11sub12sub13
C_373018N1206013W001	6.655E-07	0.999883173	6.15277E-05	5.46342E-05	2	2	sub11sub12sub13
C_373024N1206938W001	1.55055E-05	0.999952947	2.1067E-06	2.94411E-05	2	2	sub11sub12sub13
C_373024N1207854W001	0.594647078	8.9897E-06	9.1482E-06	0.405334784	1	1	sub11sub12sub13
C_373074N1208377W001	0.900945858	5.86347E-05	6.23457E-05	0.098933161	1	1	sub11sub12sub13
C_373074N1208377W002	0.987498795	3.82779E-05	5.75013E-05	0.012405426	1	1	sub11sub12sub13
C_373077N1205874W001	2.2344E-06	0.998631174	0.001144311	0.000222281	2	2	sub11sub12sub13
C_373082N1205966W001	8.93561E-05	0.995631748	0.004256395	0.000022501	2	2	sub11sub12sub13
C_373124N1203788W001	0.575157278	0.16037163	0.003656883	0.26081421	1	1	sub11sub12sub13
C_373132N1206741W001	0.000073379	0.994850406	0.004801419	0.000274795	2	2	sub11sub12sub13
C_373141N1206899W001	0.000476132	0.997800288	0.001480173	0.000243408	2	2	sub11sub12sub13
C_373166N1207221W001	1.3265E-06	0.998121404	0.001855995	2.12745E-05	2	2	sub11sub12sub13
C_373166N1207554W001	0.000285525	5.9758E-06	2.685E-07	0.999708231	4	4	sub11sub12sub13
C_373180N1203966W001	0.000367244	0.999462293	2.43123E-05	0.000146151	2	2	sub11sub12sub13
C_373199N1208660W001	0.919980165	0.001833006	0.000545536	0.077641293	1	1	sub11sub12sub13
C_373207N1205585W001	6.1E-09	0.989770327	0.010228839	8.286E-07	2	2	sub11sub12sub13
C_373221N1203671W001	0.000609687	0.997429839	0.000118635	0.001841839	2	2	sub11sub12sub13
C_373243N1205960W001	0	0.99999936	6.365E-07	3.6E-09	2	2	sub11sub12sub13
C_373243N1207285W001	0.532998729	0.213150418	0.009333281	0.244517572	1	1	sub11sub12sub13
C_373277N1204146W001	5.5E-09	0.999993456	6.4556E-06	8.25E-08	2	2	sub11sub12sub13
C_373296N1206238W001	1.2E-09	0.999962214	3.77616E-05	2.33E-08	2	2	sub11sub12sub13
C_373310N1206632W001	1.11E-08	0.999988558	1.13681E-05	6.29E-08	2	2	sub11sub12sub13
C_373310N1206868W001	9.7E-09	0.999999361	6.143E-07	1.48E-08	2	2	sub11sub12sub13
C_373310N1207046W001	1.61787E-05	0.999392994	7.3269E-06	0.000583501	2	2	sub11sub12sub13
C_373310N1207149W001	0.000206612	0.970746836	0.008015575	0.021030977	2	2	sub11sub12sub13
C_373313N1207246W001	0.000287791	0.994133032	0.000615364	0.004963813	2	2	sub11sub12sub13
C_373330N1206702W001	1.60162E-05	0.995191092	0.004710235	8.26572E-05	2	2	sub11sub12sub13
C_373341N1204371W001	0	0.999999324	6.758E-07	4E-10	2	2	sub11sub12sub13
C_373352N1207368W001	2.36389E-05	0.999725633	6.26456E-05	0.000188082	2	2	sub11sub12sub13
C_373355N1209160W001	0.853801514	0.084641149	0.008656123	0.052901214	1	1	sub11sub12sub13
C_373382N1206913W001	8.8E-09	0.999939279	6.06033E-05	1.088E-07	2	2	sub11sub12sub13
C_373385N1206304W001	1.4274E-06	0.905363475	0.09455733	7.77678E-05	2	2	sub11sub12sub13
C_373385N1207193W001	3.6619E-06	0.966517541	0.033212945	0.000265853	2	2	sub11sub12sub13
C_373388N1207004W001	5.76E-08	0.999403738	0.000595208	9.964E-07	2	2	sub11sub12sub13
C_373421N1206463W001	2.54907E-05	0.996706567	0.003157275	0.000110667	2	2	sub11sub12sub13
C_373421N1206643W001	0.029736157	0.012318116	0.007396545	0.950549182	4	4	sub11sub12sub13
C_373421N1206854W001	1.07E-08	0.999570008	0.000407367	2.26151E-05	2	2	sub11sub12sub13
C_373441N1207352W001	0	0.999999895	9.22E-08	1.24E-08	2	2	sub11sub12sub13
C_373449N1207466W001	0.000105518	0.997007863	0.002814876	7.17431E-05	2	2	sub11sub12sub13
C_373460N1207038W001	3E-10	0.999976062	2.38786E-05	5.95E-08	2	2	sub11sub12sub13
C_373466N1205499W001	6E-10	0.994186849	0.005813052	9.87E-08	2	2	sub11sub12sub13
C_373468N1208877W001	0.99978856	4.2131E-06	9.9896E-06	0.000197237	1	1	sub11sub12sub13
C_373474N1207602W001	0.000291464	0.99899623	0.000350604	0.000361701	2	2	sub11sub12sub13
C_373488N1205824W001	4.4E-09	0.999795691	0.000204099	2.053E-07	2	2	sub11sub12sub13
C_373493N1207777W001	0.000156734	0.999760626	3.3808E-06	7.92594E-05	2	2	sub11sub12sub13
C_373496N1206593W001	3.885E-07	0.998927574	0.001067243	4.7945E-06	2	2	sub11sub12sub13
C_373510N1205641W001	8.393E-07	0.994501963	0.005491364	5.8338E-06	2	2	sub11sub12sub13
C_373513N1207054W001	0	0.999998395	1.6037E-06	1.7E-09	2	2	sub11sub12sub13
C_373521N1207241W001	1.14E-08	0.145171687	0.854828015	2.867E-07	3	3	sub11sub12sub13
C_373532N1206888W001	4.3E-09	0.999958286	0.000041631	7.87E-08	2	2	sub11sub12sub13
C_373532N1208796W001	0.820841968	0.090500139	0.001270624	0.087387269	1	1	sub11sub12sub13
C_373546N1206824W001	0.000334382	0.996339728	0.002779694	0.000546196	2	2	sub11sub12sub13
C_373566N1206604W001	1.70588E-05	0.917131343	0.082787807	6.37919E-05	2	2	sub11sub12sub13
C_373602N1207263W001	4.22573E-05	0.978046396	0.021867347	4.40003E-05	2	2	sub11sub12sub13
C_373602N1207416W001	6.07E-08	0.999960388	3.86608E-05	8.901E-07	2	2	sub11sub12sub13
C_373605N1206504W001	3.114E-07	0.999606192	0.000391812	1.6842E-06	2	2	sub11sub12sub13
C_373605N1206591W001	6.218E-07	0.945627547	0.054363292	8.5399E-06	2	2	sub11sub12sub13
C_373621N1206888W001	2E-10	0.99999984	1.579E-07	2.2E-09	2	2	sub11sub12sub13
C_373652N1207499W001	0.000000012	0.99995953	4.03494E-05	1.089E-07	2	2	sub11sub12sub13
C_373663N1206813W001	1.31E-08	0.99998971	8.1489E-06	2.1283E-06	2	2	sub11sub12sub13
C_373671N1207879W001	1.717E-07	0.999988078	1.04952E-05	1.2549E-06	2	2	sub11sub12sub13
C_373702N1207552W001	0.002427127	0.977509702	0.01833017	0.001733001	2	2	sub11sub12sub13
C_373716N1207229W001	6E-10	0.999998284	1.6224E-06	9.27E-08	2	2	sub11sub12sub13
C_373721N1208143W001	0.002978999	0.001221649	0.000226182	0.995573171	4	4	sub11sub12sub13
C_373732N1206679W001	2.707E-07	0.999791785	0.000124862	8.30826E-05	2	2	sub11sub12sub13
C_373738N1206171W001	1.907E-07	0.962440199	0.03755361	0.000006	2	2	sub11sub12sub13
C_373752N1207668W001	4.2055E-06	0.836227863	0.163748474	1.94574E-05	2	2	sub11sub12sub13
C_373760N1206291W001	2.45E-08	0.981730526	0.018269122	3.283E-07	2	2	sub11sub12sub13
C_373805N1207477W001	0.000420598	0.989393398	0.002013078	0.008172926	2	2	sub11sub12sub13
C_373813N1207782W001	0.000556156	0.970787032	0.028133116	0.000523696	2	2	sub11sub12sub13
C_373821N1207552W001	0.000318339	0.996330384	0.002833441	0.000517836	2	2	sub11sub12sub13
C_373821N1208752W001	0.030952629	0.711902882	0.036521395	0.220623094	2	2	sub11sub12sub13
C_373849N1206816W001	2.42E-08	0.999905798	9.26773E-05	1.5002E-06	2	2	sub11sub12sub13
C_373857N1206546W001	0.014615391	0.300209216	0.57038314	0.114792253	3	3	sub11sub12sub13
C_373888N1206393W001	2.66044E-05	0.940839028	0.057878385	0.001255983	2	2	sub11sub12sub13
C_373888N1207046W001	0.000064148	0.992473807	0.007421771	0.000040274	2	2	sub11sub12sub13
