name	clus_1	clus_2	clus_3	memb	i.cluster	subregion
C_370999N1207441W001	0.000228283	0.99972081	5.09079E-05	2	2	sub10
C_371002N1208574W001	0.999921382	5.37558E-05	2.48623E-05	1	1	sub10
C_371032N1206357W001	0.890292775	0.060057441	0.049649784	1	1	sub10
C_371071N1207807W001	0.941511368	0.054318479	0.004170153	1	1	sub10
C_371180N1207077W001	0.660221498	0.326510185	0.013268317	1	1	sub10
C_371216N1209616W001	0.005252514	0.958998864	0.035748622	2	2	sub10
C_371224N1208710W001	0.999801284	0.000132772	6.59442E-05	1	1	sub10
C_371246N1207077W001	0.961533801	0.027202848	0.011263351	1	1	sub10
C_371266N1209477W001	0.999258421	0.000717333	2.42462E-05	1	1	sub10
C_371363N1209524W001	0.000277208	0.973027821	0.026694972	2	2	sub10
C_371466N1210316W001	0.00064748	0.996431454	0.002921066	2	2	sub10
C_371646N1210143W001	0.099466955	0.127545879	0.772987166	3	3	sub10
C_371660N1209854W001	0.992392348	0.003197679	0.004409974	1	1	sub10
C_371871N1209707W001	0.879930154	0.012148935	0.107920911	1	1	sub10
C_371974N1209668W001	0.968890132	0.028963773	0.002146095	1	1	sub10
C_372110N1209213W001	0.943724975	0.054425926	0.001849098	1	1	sub10
C_372132N1209027W001	0.932949487	0.041941908	0.025108605	1	1	sub10
C_372171N1209943W001	0.965033439	0.033351408	0.001615153	1	1	sub10
C_372213N1209754W001	0.999171669	0.000815844	1.24875E-05	1	1	sub10
C_372313N1209016W001	0.93850457	0.060666606	0.000828825	1	1	sub10
C_372313N1210657W001	0.000353736	0.823532555	0.176113709	2	2	sub10
C_372327N1209407W001	0.4177479	0.000443266	0.581808834	3	3	sub10
C_372377N1210752W001	7.3378E-06	0.006867923	0.99312474	3	3	sub10
C_372424N1210754W001	0.00180002	0.989877402	0.008322578	2	2	sub10
C_372588N1209788W001	0.999998898	6.443E-07	4.573E-07	1	1	sub10
C_372832N1210649W001	7.9181E-06	3.0709E-06	0.999989011	3	3	sub10
C_372852N1210496W001	0.416516359	0.107552118	0.475931524	3	3	sub10
C_372891N1209899W001	0.999971626	1.42867E-05	1.40874E-05	1	1	sub10
C_373021N1210427W001	3.64856E-05	0.999693595	0.000269919	2	2	sub10
C_373046N1209938W001	0.997908406	1.05881E-05	0.002081006	1	1	sub10
C_373277N1210660W001	9.9346E-06	3.557E-07	0.99998971	3	3	sub10
C_373291N1210491W001	0.000251968	1.60654E-05	0.999731966	3	3	sub10
C_373410N1210991W001	0.000169945	0.396900975	0.60292908	3	3	sub10
C_373435N1210027W001	1.49764E-05	0.000007923	0.999977101	3	3	sub10
C_373477N1209793W001	0.987494775	0.011931786	0.000573439	1	1	sub10
C_373502N1210191W001	8.095E-07	1.91E-08	0.999999171	3	3	sub10
C_373535N1210013W001	0.980501099	0.015162759	0.004336142	1	1	sub10
C_373552N1211010W001	7.8641E-06	2.4532E-06	0.999989683	3	3	sub10
C_373674N1210846W001	0.000143031	0.067405699	0.932451271	3	3	sub10
C_373818N1210154W001	0.999966551	8.151E-07	3.26341E-05	1	1	sub10
C_373843N1211054W001	2.531E-07	0.00021265	0.999787097	3	3	sub10
C_374010N1210349W001	0.999883234	1.39896E-05	0.000102776	1	1	sub10
C_374052N1210671W001	0.000262729	0.150022204	0.849715067	3	3	sub10
C_374135N1210282W001	0.997786003	0.001395239	0.000818758	1	1	sub10
C_374257N1210277W001	0.993031664	0.005552089	0.001416247	1	1	sub10
C_374868N1211413W001	0.000159478	0.090591076	0.909249447	3	3	sub10
C_375007N1211816W001	3.06909E-05	0.018182546	0.981786763	3	3	sub10
C_376127N1213219W001	0.000275397	0.970054017	0.029670586	2	2	sub10
C_376619N1212848W001	0.062053378	0.744633236	0.193313386	2	2	sub10
C_376622N1212916W001	0.174028619	0.766683261	0.05928812	2	2	sub10
