name	clus_1	clus_2	clus_3	clus_4	clus_5	memb	i.cluster	subregion
C_354497N1192293W001	2.7031E-06	2.9936E-06	0.999806013	6.9551E-06	0.000181335	3	3	sub19sub20sub21
C_354561N1192256W001	2.288E-07	1.46592E-05	0.99981141	0.000142277	3.14254E-05	3	3	sub19sub20sub21
C_354564N1190766W001	0.016533368	0.982950723	2.56796E-05	0.000463715	2.65144E-05	2	2	sub19sub20sub21
C_354567N1193453W001	1.5895E-06	0.004528153	0.958604348	2.39682E-05	0.036841941	3	3	sub19sub20sub21
C_354597N1192790W001	0.00300774	0.000210763	0.992542958	0.000261139	0.0039774	3	3	sub19sub20sub21
C_354605N1191913W001	1.005E-07	3.03E-08	0.999891515	5.4614E-06	0.000102893	3	3	sub19sub20sub21
C_354641N1192382W001	0	2E-10	0.999999641	0.000000002	3.569E-07	3	3	sub19sub20sub21
C_354714N1192174W001	2.34E-08	7.82E-08	0.999937151	2.1932E-06	6.05543E-05	3	3	sub19sub20sub21
C_354716N1192082W001	2.07E-08	8.23E-08	0.99994841	2.56951E-05	2.57925E-05	3	3	sub19sub20sub21
C_354780N1191721W001	0.002726168	0.0006357	0.049326408	0.933988036	0.013323689	4	4	sub19sub20sub21
C_354780N1191721W002	0.849392545	0.004765965	0.032701389	0.004553539	0.108586563	1	1	sub19sub20sub21
C_354780N1191721W003	0.687200768	0.0154254	0.086485898	0.005182592	0.205705342	1	1	sub19sub20sub21
C_354786N1192080W001	1.8834E-06	2.8543E-06	0.995773432	1.60994E-05	0.004205731	3	3	sub19sub20sub21
C_354861N1192293W001	1.01E-08	3.18E-08	0.998553202	5.9891E-06	0.001440767	3	3	sub19sub20sub21
C_354922N1192151W001	0	0	0.999999485	0.000000006	5.091E-07	3	3	sub19sub20sub21
C_354989N1193234W001	0.000188714	0.003622567	0.919324083	0.013698467	0.063166169	3	3	sub19sub20sub21
C_354994N1192355W001	4E-10	2.1E-09	0.999680288	8.5E-09	0.000319701	3	3	sub19sub20sub21
C_355006N1193698W001	4E-10	1.66E-08	0.999997497	7.36E-08	2.4124E-06	3	3	sub19sub20sub21
C_355067N1191170W001	0.000656302	0.002992322	0.089002876	0.000552671	0.90679583	5	5	sub19sub20sub21
C_355083N1193635W001	0	7E-10	0.999998064	0.000000012	1.9229E-06	3	3	sub19sub20sub21
C_355097N1191087W001	0.000621153	0.00194595	0.533005841	0.101099593	0.363327463	3	3	sub19sub20sub21
C_355139N1191565W001	2.542E-07	7.5386E-06	0.997563371	0.000539163	0.001889673	3	3	sub19sub20sub21
C_355152N1193602W001	8.32E-08	0.000001359	0.998881593	0.000039775	0.00107719	3	3	sub19sub20sub21
C_355217N1194927W001	0.000001265	0.001128302	0.284183141	0.249991756	0.464695536	5	5	sub19sub20sub21
C_355219N1194829W001	0.000000009	1.55417E-05	0.008356082	0.007234958	0.98439341	5	5	sub19sub20sub21
C_355283N1193960W001	3E-10	5.92E-08	0.999478137	1.5084E-06	0.000520295	3	3	sub19sub20sub21
C_355294N1191609W001	1.7963E-06	1.1792E-06	0.997311825	2.98664E-05	0.002655333	3	3	sub19sub20sub21
C_355325N1194927W001	0.000184643	0.004847694	0.045060888	0.130630946	0.819275829	5	5	sub19sub20sub21
C_355358N1193498W001	2.9E-09	0.000000172	0.954400307	0.011880303	0.033719216	3	3	sub19sub20sub21
C_355361N1192248W001	0.000040585	1.2596E-06	0.990087734	0.002406342	0.00746408	3	3	sub19sub20sub21
C_355397N1194384W001	3.943E-07	0.000241405	0.216245572	0.063155058	0.720357571	5	5	sub19sub20sub21
C_355406N1193767W001	0	0	0.959753397	0	0.040246603	3	3	sub19sub20sub21
C_355408N1193856W001	0	0	0.000434948	1E-10	0.999565052	5	5	sub19sub20sub21
C_355433N1192512W001	3.21E-08	3.5427E-06	0.024891595	1.50936E-05	0.975089737	5	5	sub19sub20sub21
C_355436N1192156W001	8.075E-07	0.000039511	0.17663636	0.000161355	0.823161967	5	5	sub19sub20sub21
C_355436N1194212W001	2E-10	4.157E-07	0.796538654	8.735E-07	0.203460056	3	3	sub19sub20sub21
C_355458N1193501W001	4E-10	2.53E-08	0.147410718	2.9149E-06	0.852586341	5	5	sub19sub20sub21
C_355508N1192245W001	1.18E-08	4.4E-09	0.152003726	1.1004E-06	0.847995157	5	5	sub19sub20sub21
C_355522N1190995W001	0.00011258	1.44531E-05	0.649735708	0.002824964	0.347312295	3	3	sub19sub20sub21
C_355525N1192953W001	5.4E-09	1.003E-07	0.311600529	1.00009E-05	0.688389364	5	5	sub19sub20sub21
C_355575N1193856W001	0	9.513E-07	0.002708235	4.284E-07	0.997290385	5	5	sub19sub20sub21
C_355581N1192184W001	1.3264E-06	3.0528E-06	0.928545969	0.001138892	0.07031076	3	3	sub19sub20sub21
C_355581N1194470W001	1.65328E-05	0.003803293	0.675463127	0.13625989	0.184457157	3	3	sub19sub20sub21
C_355586N1193545W001	0.761933391	0.22132988	0.005383416	0.008688143	0.00266517	1	1	sub19sub20sub21
C_355589N1193312W001	0.008988356	0.000849931	0.948279462	0.000168763	0.041713488	3	3	sub19sub20sub21
C_355647N1192831W001	1.395E-07	2.77921E-05	0.118010795	3.25755E-05	0.881928698	5	5	sub19sub20sub21
C_355656N1192070W001	2.455E-07	2.2678E-06	0.00443741	7.87728E-05	0.995481304	5	5	sub19sub20sub21
C_355656N1192601W001	1.2642E-06	1.87902E-05	0.007213185	6.76773E-05	0.992699084	5	5	sub19sub20sub21
C_355658N1191778W001	4E-10	7.62E-08	0.513780984	1.3794E-06	0.48621756	3	3	sub19sub20sub21
C_355697N1191906W001	0	0	0.000000022	0	0.999999978	5	5	sub19sub20sub21
C_355725N1194384W001	5.33E-08	0.000023911	0.868843566	0.000221807	0.130910662	3	3	sub19sub20sub21
C_355733N1193942W001	2E-10	8.1E-09	0.026454276	1.633E-07	0.973545553	5	5	sub19sub20sub21
C_355758N1191459W001	0.000570427	0.974988378	0.006004046	0.006325056	0.012112093	2	2	sub19sub20sub21
C_355764N1192145W001	1.322E-07	0.000000018	0.949926835	4.5452E-06	0.05006847	3	3	sub19sub20sub21
C_355775N1192603W001	0	4E-10	3.7162E-06	2.8E-09	0.999996281	5	5	sub19sub20sub21
C_355806N1191909W001	1.24E-08	2.187E-07	0.004283744	8.2847E-06	0.99570774	5	5	sub19sub20sub21
C_355814N1193587W001	4E-10	1.95E-08	0.001271309	5.4995E-06	0.998723171	5	5	sub19sub20sub21
C_355869N1194384W001	3E-10	7.9E-09	0.000643489	9.1338E-06	0.999347369	5	5	sub19sub20sub21
C_355878N1191373W001	0.003930935	0.994947031	5.70129E-05	0.00092373	0.000141291	2	2	sub19sub20sub21
C_355878N1191948W001	8.99581E-05	0.001179779	0.496343324	0.000188132	0.502198807	5	5	sub19sub20sub21
C_355922N1192598W001	0	1.2E-09	4.9416E-06	1.09E-08	0.999995046	5	5	sub19sub20sub21
C_355944N1193584W001	1E-10	0.000000158	9.0786E-06	3.761E-07	0.999990387	5	5	sub19sub20sub21
C_355947N1193717W001	0	0	0	0	1	5	5	sub19sub20sub21
C_356011N1194560W001	0.029367682	0.149850319	0.04435603	0.745700682	0.030725287	4	4	sub19sub20sub21
C_356017N1193937W001	0	0	0.000000002	0	0.999999998	5	5	sub19sub20sub21
C_356022N1191956W001	4.4E-09	0.000001007	0.211832407	4.65226E-05	0.788120059	5	5	sub19sub20sub21
C_356025N1192413W001	0.005136244	0.00777585	0.16911941	0.79683304	0.021135457	4	4	sub19sub20sub21
C_356025N1192413W002	0.991648347	0.006606668	0.001414989	0.000168315	0.000161681	1	1	sub19sub20sub21
C_356058N1191820W001	2E-10	6.28E-08	2.25518E-05	1.96E-08	0.999977366	5	5	sub19sub20sub21
C_356061N1191359W001	6.01276E-05	0.883215029	0.003777338	0.099912131	0.013035375	2	2	sub19sub20sub21
C_356067N1190887W001	0.004271811	0.022888215	0.017789863	0.009205047	0.945845065	5	5	sub19sub20sub21
C_356072N1192603W001	5.24E-08	1.4584E-06	0.002171933	8.97963E-05	0.99773676	5	5	sub19sub20sub21
C_356094N1192778W001	4.03E-08	4.33E-08	0.000105514	1.3613E-06	0.999893042	5	5	sub19sub20sub21
C_356097N1191192W001	1E-10	6.98E-08	1.3448E-06	4.602E-07	0.999998125	5	5	sub19sub20sub21
C_356164N1193406W001	0	0	0	0	1	5	5	sub19sub20sub21
C_356172N1193677W001	0	0	0	0	1	5	5	sub19sub20sub21
C_356175N1191517W001	0.000815734	0.999017331	1.43057E-05	0.000138033	1.45961E-05	2	2	sub19sub20sub21
C_356186N1191037W001	3.6761E-06	3.42182E-05	0.000635481	0.001002948	0.998323677	5	5	sub19sub20sub21
C_356189N1191423W001	0.002509317	0.97955194	0.000264128	0.017242143	0.000432472	2	2	sub19sub20sub21
C_356197N1191334W001	3.979E-07	0.999722913	9.0246E-06	6.94791E-05	0.000198185	2	2	sub19sub20sub21
C_356233N1191078W001	0.000537569	0.008131224	0.014987546	0.111724586	0.864619076	5	5	sub19sub20sub21
C_356236N1194206W001	1.065E-07	3.14726E-05	0.000189707	2.31123E-05	0.999755601	5	5	sub19sub20sub21
C_356241N1193502W001	1E-10	2.1E-09	1.4374E-06	2.05E-08	0.99999854	5	5	sub19sub20sub21
C_356308N1193678W001	0	0	0	0	0	1	1	sub19sub20sub21
C_356308N1194203W001	0.000000148	1.04193E-05	0.000198734	9.89102E-05	0.999691788	5	5	sub19sub20sub21
C_356311N1191512W001	0.002780682	0.940209436	0.00059465	0.056306937	0.000108296	2	2	sub19sub20sub21
C_356314N1191659W001	4.46715E-05	0.992778349	0.000369326	0.000178661	0.006628993	2	2	sub19sub20sub21
C_356322N1193591W001	0	0	0	0	1	5	5	sub19sub20sub21
C_356325N1192318W001	4E-10	2.11E-08	0.00079053	2.08465E-05	0.999188602	5	5	sub19sub20sub21
C_356389N1193407W001	0	0	0	0	1	5	5	sub19sub20sub21
C_356406N1191787W001	2.2E-09	9.628E-07	0.998355969	2.63309E-05	0.001616735	3	3	sub19sub20sub21
C_356425N1191651W001	7.76966E-05	0.999905832	1.376E-07	1.59033E-05	4.302E-07	2	2	sub19sub20sub21
C_356439N1191515W001	0.000133	0.99983114	0.000000148	3.52533E-05	4.587E-07	2	2	sub19sub20sub21
C_356453N1194201W001	9E-10	6.9E-09	2.1037E-06	5.03E-08	0.999997838	5	5	sub19sub20sub21
C_356461N1193327W001	0	5E-10	7.3E-09	0	0.999999992	5	5	sub19sub20sub21
