name	clus_1	clus_2	clus_3	clus_4	memb	i.cluster	subregion
C_382314N1214270W001	3.76695E-05	7.5184E-06	0.999915675	3.91374E-05	3	3	sub8sub9
C_382346N1211464W001	0.999999696	0	1.46E-08	2.896E-07	1	1	sub8sub9
C_382366N1211987W001	0.254967933	0.000613772	0.679973727	0.064444567	3	3	sub8sub9
C_382368N1212642W001	0.000455678	0.156146657	0.009774051	0.833623614	4	4	sub8sub9
C_382381N1214641W001	5.35125E-05	0.000142182	0.998987885	0.000816421	3	3	sub8sub9
C_382447N1212764W001	7.49818E-05	0.005736386	0.00028309	0.993905542	4	4	sub8sub9
C_382454N1217027W001	0.092070714	0.219093329	0.587177624	0.101658333	3	3	sub8sub9
C_382530N1214385W001	3.9943E-06	8.9276E-06	0.999853974	0.000133104	3	3	sub8sub9
C_382548N1212908W001	7.08E-08	0.999626754	0.000146202	0.000226973	2	2	sub8sub9
C_382625N1212626W001	0.1530622	0.000165295	0.12950146	0.717271045	4	4	sub8sub9
C_382862N1217884W001	0.000104413	0.000133431	0.999705082	5.70748E-05	3	3	sub8sub9
C_382864N1217883W001	0.28065	0.00934119	0.709434193	0.000574617	3	3	sub8sub9
C_382913N1213131W001	0.064947544	0.474130582	0.437532618	0.023389257	2	2	sub8sub9
C_382936N1211747W001	1	0	0	0	1	1	sub8sub9
C_382939N1213904W001	0.000024198	0.006636494	0.990839666	0.002499642	3	3	sub8sub9
C_382940N1213379W001	0.966296742	0.000416258	0.007273225	0.026013776	1	1	sub8sub9
C_383213N1212330W001	0.99606689	1.6578E-06	8.48742E-05	0.003846578	1	1	sub8sub9
C_383217N1213072W001	0.05108142	0.030804454	0.892764001	0.025350125	3	3	sub8sub9
C_383264N1213191W001	4.1371E-06	0.623333798	1.68936E-05	0.376645172	2	2	sub8sub9
C_383270N1214736W001	0.000782185	0.000673515	0.994355368	0.004188933	3	3	sub8sub9
C_383442N1216147W001	0.000325427	1.04887E-05	0.999532004	0.00013208	3	3	sub8sub9
C_383527N1211081W001	0.999999899	8.4E-09	8.19E-08	1.12E-08	1	1	sub8sub9
C_383610N1214825W001	0.001980754	0.961734792	0.036109968	0.000174487	2	2	sub8sub9
C_383729N1213638W001	0.00000539	0.99999262	6.984E-07	1.2915E-06	2	2	sub8sub9
C_383785N1216916W001	0.000215151	0.70021705	0.294477061	0.005090737	2	2	sub8sub9
C_383822N1212242W001	0.987844339	5.0827E-06	3.48632E-05	0.012115715	1	1	sub8sub9
C_383922N1217299W001	0.000267449	0.002457937	0.99322353	0.004051083	3	3	sub8sub9
C_384183N1212123W001	0.999999026	0	1.1E-09	0.000000973	1	1	sub8sub9
C_384205N1210459W001	1.23549E-05	0.000143404	0.99974136	0.000102881	3	3	sub8sub9
